login_bin,value_count
1970-01-01 20:12:16,8
1970-01-01 20:27:16,8
1970-01-01 20:42:16,6
1970-01-01 20:57:16,3
1970-01-01 21:12:16,3
1970-01-01 21:27:16,1
1970-01-01 21:42:16,1
1970-01-01 21:57:16,12
1970-01-01 22:12:16,8
1970-01-01 22:27:16,1
1970-01-01 22:42:16,2
1970-01-01 22:57:16,15
1970-01-01 23:12:16,15
1970-01-01 23:27:16,10
1970-01-01 23:42:16,18
1970-01-01 23:57:16,11
1970-01-02 00:12:16,13
1970-01-02 00:27:16,13
1970-01-02 00:42:16,13
1970-01-02 00:57:16,13
1970-01-02 01:12:16,8
1970-01-02 01:27:16,8
1970-01-02 01:42:16,7
1970-01-02 01:57:16,8
1970-01-02 02:12:16,18
1970-01-02 02:27:16,11
1970-01-02 02:42:16,5
1970-01-02 02:57:16,13
1970-01-02 03:12:16,6
1970-01-02 03:27:16,6
1970-01-02 03:42:16,5
1970-01-02 03:57:16,2
1970-01-02 04:12:16,0
1970-01-02 04:27:16,3
1970-01-02 04:42:16,4
1970-01-02 04:57:16,5
1970-01-02 05:12:16,4
1970-01-02 05:27:16,1
1970-01-02 05:42:16,1
1970-01-02 05:57:16,1
1970-01-02 06:12:16,0
1970-01-02 06:27:16,1
1970-01-02 06:42:16,5
1970-01-02 06:57:16,3
1970-01-02 07:12:16,1
1970-01-02 07:27:16,1
1970-01-02 07:42:16,0
1970-01-02 07:57:16,3
1970-01-02 08:12:16,2
1970-01-02 08:27:16,3
1970-01-02 08:42:16,0
1970-01-02 08:57:16,4
1970-01-02 09:12:16,1
1970-01-02 09:27:16,5
1970-01-02 09:42:16,2
1970-01-02 09:57:16,8
1970-01-02 10:12:16,5
1970-01-02 10:27:16,9
1970-01-02 10:42:16,5
1970-01-02 10:57:16,10
1970-01-02 11:12:16,7
1970-01-02 11:27:16,21
1970-01-02 11:42:16,14
1970-01-02 11:57:16,18
1970-01-02 12:12:16,13
1970-01-02 12:27:16,18
1970-01-02 12:42:16,8
1970-01-02 12:57:16,3
1970-01-02 13:12:16,4
1970-01-02 13:27:16,9
1970-01-02 13:42:16,4
1970-01-02 13:57:16,5
1970-01-02 14:12:16,6
1970-01-02 14:27:16,6
1970-01-02 14:42:16,7
1970-01-02 14:57:16,5
1970-01-02 15:12:16,6
1970-01-02 15:27:16,2
1970-01-02 15:42:16,2
1970-01-02 15:57:16,7
